source_url,target_url
/iowa-city-ia,/mattress-removal/iowa/iowa-city/
/iowa-city-ia/,/mattress-removal/iowa/iowa-city/
/Provo-UT,/mattress-removal/utah/provo/
/Provo-UT/,/mattress-removal/utah/provo/
/conroe-tx,/mattress-removal/texas/houston/conroe/
/conroe-tx/,/mattress-removal/texas/houston/conroe/
/Atlanta-GA,/mattress-removal/georgia/atlanta/
/Atlanta-GA/,/mattress-removal/georgia/atlanta/
/conway-ar,/mattress-removal/arkansas/little-rock/conway/
/conway-ar/,/mattress-removal/arkansas/little-rock/conway/
/las-vegas-nv,/mattress-removal/nevada/las-vegas/
/las-vegas-nv/,/mattress-removal/nevada/las-vegas/
/san-diego-ca,/mattress-removal/california/san-diego/
/san-diego-ca/,/mattress-removal/california/san-diego/
/apple-valley-mn,/mattress-removal/minnesota/minneapolis/apple-valley/
/apple-valley-mn/,/mattress-removal/minnesota/minneapolis/apple-valley/
/gulfport-ms,/mattress-removal/mississippi/gulfport/
/gulfport-ms/,/mattress-removal/mississippi/gulfport/
/spartanburg-sc,/mattress-removal/south-carolina/spartanburg/
/spartanburg-sc/,/mattress-removal/south-carolina/spartanburg/
/pocatello-id,/mattress-removal/idaho/pocatello/
/pocatello-id/,/mattress-removal/idaho/pocatello/
/kansas-city-mo,/mattress-removal/missouri/kansas-city/
/kansas-city-mo/,/mattress-removal/missouri/kansas-city/
/elk-grove-ca,/mattress-removal/california/sacramento/elk-grove/
/elk-grove-ca/,/mattress-removal/california/sacramento/elk-grove/
/pasadena-ca,/mattress-removal/california/los-angeles/pasadena/
/pasadena-ca/,/mattress-removal/california/los-angeles/pasadena/
/manhattan-ks,/mattress-removal/kansas/manhattan/
/manhattan-ks/,/mattress-removal/kansas/manhattan/
/Nampa-ID,/mattress-removal/idaho/boise/nampa/
/Nampa-ID/,/mattress-removal/idaho/boise/nampa/
/schenectady-ny,/mattress-removal/new-york/albany/schenectady/
/schenectady-ny/,/mattress-removal/new-york/albany/schenectady/
/idaho-falls-id,/mattress-removal/idaho/idaho-falls/
/idaho-falls-id/,/mattress-removal/idaho/idaho-falls/
/surprise-az,/mattress-removal/arizona/phoenix/surprise/
/surprise-az/,/mattress-removal/arizona/phoenix/surprise/
/Charlotte-NC,/mattress-removal/north-carolina/charlotte/
/Charlotte-NC/,/mattress-removal/north-carolina/charlotte/
/spokane-wa,/mattress-removal/washington/spokane/
/spokane-wa/,/mattress-removal/washington/spokane/
/saint-charles-mo,/mattress-removal/missouri/st-louis/st-charles/
/saint-charles-mo/,/mattress-removal/missouri/st-louis/st-charles/
